This supplement lists certain entities or addresses subject to license requirements and other Entity List restrictions for specified items under this part 744 and part 746 of the EAR. License requirements for these entities include exports, reexports, and transfers (in-country) unless otherwise stated. A license is required, to the extent specified on the Entity List, to export, reexport, or transfer (in-country) any item subject to the EAR when an entity or a party to the transaction is operating at an address that is listed on the Entity List under an address entry is a party to the transaction as described in § 748.5(c) through (f) of the EAR. The Entity List license requirements and other Entity List restrictions also apply to any foreign entity that is owned, directly or indirectly, individually or in aggregate, 50 percent or more by one or more listed entities or entities that are subject to restrictions based upon their ownership. An entity owned 50 percent or more, directly or indirectly, by multiple entities subject to EAR license requirements pursuant to some combination of the Entity List, MEU List, or SDN List designated under programs listed in § 744.8(a)(1), is subject to the most restrictive license requirements, license exception eligibility, and license review policy applicable to one or more of its owners under the EAR. If an exporter, reexporter, or transferor cannot determine the ownership percentage of a foreign entity that is an entity owned, directly or indirectly, by one or more listed entities, they must resolve the Red Flag or obtain a license from BIS prior to proceeding with the export, reexport, or transfer (in-country), unless a license exception is available (see Red Flag 29 in supplement no. 3 to part 732). This list is revised and updated on a periodic basis in this supplement by adding new or amended notifications and deleting notifications no longer in effect.
Country | Entity | License requirement | License reviewpolicy | Federal Register citation
AFGHANISTAN | Abdul Satar Ghoura, 501, 5th Floor, Amanullah Sancharaki Market Opp Chaman E Huzuri, Kabul, Afghanistan; and Flat No. 41 Block No. 24 Macroyan 3, Kabul, Afghanistan. (See alternate addresses under Pakistan). | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 76 FR 71869, 11/21/11.
Afghan-German Construction Company, Golaye Park, Shari Naw, Kabul, Afghanistan, and Dasht Qala, Takhar Province, Afghanistan. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 25057, 4/27/12.
Bion Group Ic Ve Dis Ticaret Limited Sirketi, a.k.a., the following two aliases: —Bion Trade Group Limited; and —Bion Group Ltd Sti. Unit 1411, 14/Floor, Cosco Tower 183 Queen's Road Central, Sheung Wan, Hong Kong. (See alternate address under Turkey). | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 89 FR 14388, 2/27/24.
Biznest, LTD, Room 927 9/F Far East Consortium Building, 121 Des Voeux Road C, Central District, Hong Kong; and 4/F, Hong Kong Trade Centre, 161 167 Des Voeux Road, Central, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 76 FR 44259, 7/25/11.80 FR 69856, 11/12/15.85 FR 83769, 12/23/20.
Blueschip Company Limited, R1811 B Building, Jiahe Tower, No. 3006 Shennan Middle Road, Shenzhen, China 518031; and Room 06 Block A 23/F Hoover Ind Building, 26-38 Kwai Cheong Rd., Kwai Chung N.T., Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 87 FR 38925, 6/30/22.
Boertala Mongolian Autonomous Prefecture Public Security Bureau, a.k.a., the following one alias:—Bortala Mongolian Autonomous Prefecture Public Security Bureau. Qingdeli St., Bole City, XUAR, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Case-by-case review for ECCNs 1A004.c, 1A004.d, 1A995, 1A999.a, 1D003, 2A983, 2D983, and 2E983, and for EAR99 items described in the Note to ECCN 1A995; case-by-case review for items necessary to detect, identify and treat infectious disease; and presumption of denial for all other items subject to the EAR | 84 FR 54004, 10/9/19.85 FR 44161, 7/22/20.
BOP Opto-Electronics Technology Company, a.k.a., the following one alias:—Beijing BOP Electro-Optics. No. 10, Jiuxianqiao North Road, Chaoyang District, Beijing, China, 100016; and No. 4 Jiuxianqiao Road, Chaoyang District, Beijing, China, 100015. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 80 FR 44849, 7/28/15.
BuyBest Electronic, a.k.a., the following three aliases: —Buy Best Electronic Pars; —Buybest Elektronik İthalat İhracat Limited Şirketi; and —Andriman Group İnşaat İthalat İhracat Sanayi Ve Ticaret Limited Şirketi. 1201 Room, Guo Li Building, Zhonghang Road, Futian District, Shenzhen, China. (See alternate addresses under Iran and Turkey.) | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 89 FR 68548, 8/27/24.
BVI Electronics, B28 10/F Nanfang Da Sha, XIDI Ernalu GangZhou, China 511486; and G/F Far East FAC Building No. 334-336 Kwun Tong road, Kwun Tong Kowloon, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 79 FR 32445, 6/5/14.85 FR 83769, 12/23/20.
C & I Semiconductor Co., Ltd., a.k.a., the following one alias: —China India Semiconductor Co. Ltd. Ko Fai Road Block A1, 8th Floor, Room A4, Yau Tong Industrial City, Kowloon, Hong Kong. (See alternate address under India). | For all items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.11 of the EAR) | Policy of denial for all items subject to the EAR. See § 746.8(b) | 88 FR 70353, 10/11/23. 89 FR 87265, 11/1/24.
Calvin Law, Flat 2808, 28/F, Asia Trade Centre, 79 Lei Muk Road, Kwai Chung, N.T., Hong Kong; and Units 801-803 and 805, Park Sun Building, No. 97-107 Wo Yi Hop Road, Kwai Chung, N.T., Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 83 FR 44824, 9/4/18.84 FR 40241, 8/14/19.85 FR 83769, 12/23/20.
Cambricon (Hong Kong) Co., Ltd., a.k.a., the following five aliases: —Cambrian Hong Kong; —Cambrian (Hong Kong) Co., Ltd.; —Cambricon Hong Kong; —Hong Kong Cambrian; and —Hong Kong Cambricon. RM19C Lockhart CTR 301-307, Lockhart Rd. Wan Chai, Hong Kong. | For all items subject to the EAR. (See §§ 734.9(e)(2) and 744.11 of the EAR) 4 | Presumption of denial | 87 FR 77508, 12/19/22.
Cambricon Jixingge (Nanjing) Technology Co., Ltd., a.k.a., the following three aliases: —Cambrian Jixingge (Nanjing) Technology Co., Ltd.; —Cambricon Xingge; and —Cambrian Xingge. 100 Tianjiao Road, Qilin Science and Technology Innovation Park, Nanjing, Room 201, 11th Floor, Building A, Qiaomengyuan, Nanjing, Jiangsu, China | For all items subject to the EAR. (See §§ 734.9(e)(2) and 744.11 of the EAR) 4 | Presumption of denial | 87 FR 77508, 12/19/22.
Cambricon (Kunshan) Information Technology Co., Ltd., a.k.a., the following seven aliases: —Cambrian (Kunshan) Information Technology Co., Ltd.; —Cambricon Kunshan IT; —Cambrian Kunshan IT; —Cambricon Kunshan; —Cambrian Kunshan; —Kunshan Cambricon; and —Kunshan Cambrian. Room 5, No. 232 Yuanfeng Road, Yushan Town, Kunshan City, China. | For all items subject to the EAR. (See §§ 734.9(e)(2) and 744.11 of the EAR) 4 | Presumption of denial | 87 FR 77508, 12/19/22.
Cambricon (Nanjing) Information Technology Co., Ltd., a.k.a., the following five aliases: —Cambrian Nanjing Information Technology Co., Ltd.; —Cambricon Nanjing IT; —Cambrian Nanjing IT; —Nanjing Cambricon; and —Nanjing Cambrian. Room 201, 11th Floor, Building A, Qiaomengyuan, Nanjing, Jiangsu, China, and No. 100 Tianjiao Road, Qilin Science and Technology Innovation Park, Nanjing, China. | For all items subject to the EAR. (See §§ 734.9(e)(2) and 744.11 of the EAR) 4 | Presumption of denial | 87 FR 77508, 12/19/22.
Cambricon Technologies Corporation Limited, a.k.a., the following four aliases: —Cambrian; —Cambrian Technologies Corporation; —Cambricon; and —Zhongke Cambricon Technology. Room 1601, 16th Floor, Block D, Zhizhen Building, No. 7 Zhichun Road, Haidian District, Beijing, China; and Floor 11, 13, 14, 15, 16 Block D, No. 7 Zhichun Road, Haidian District, Beijing, China; and Building 1, Lane 2290, Zuchong Road, Pudong New Area, Shanghai, China; and 1101, 03-09, 1801, 04-06, 2104-06 Building 2 9th Floor, Tower T1, No. 1555, Haigang Avenue, Pudong New Area Shanghai, China; and 888 West Huanhui Road No. 2, Nanhui New Town, Shanghai, China; and 3404-05, 3406-10 3506-10 Block A, Tianxia Jinniu Plaza, No. 8 Taoyuan Road, Nantou Street, Nanshan District, Shenzhen, China; and 3506- 10, 35 F Building A Tianxiajin, Shenzhen, China; and 22nd Floor, Building A1, China Sound Valley, No. 3333, Xiyou Road, High-tech Zone, Hefei City, China; and 26th Floor, No. 3 Office Building, Fengyue Yunchuang Center, Junction of Haojing Avenue and Hanchi 1st Road, Fengdong New City, Xi'an, China; and 606, 607, 610, 611, Building A5, No. 266, Changyan Road, Jiangning District, Nanjing, China. | For all items subject to the EAR. (See §§ 734.9(e)(2) and 744.11 of the EAR) 4 | Presumption of denial | 87 FR 77508, 12/19/22.
Cambricon (Xi'an) Integrated Circuit Co., Ltd., a.k.a., the following five aliases: —Cambrian (Xi'an) Integrated Circuit; —Cambricon (Xi'an) IC; —Cambrian (Xi'an) IC; —Xi'an Cambricon; and —Xi'an Cambrian. Xi'an, Fengdong New Town, Xi'an City, Shaanxi Province, 24th Floor, and No. 3 Runjingyiyuan at the Junction of Haojing Avenue and Hanchi 1st Road, Fengdong New City, China. | For all items subject to the EAR. (See §§ 734.9(e)(2) and 744.11 of the EAR) 4 | Presumption of denial | 87 FR 77508, 12/19/22.
Caprice Group Ltd., Room 1119, 11/F, Block B1, Yau Tong Industrial City, 17 Ko Fai Road, Yau Tong, Kowloon, Hong Kong; and Unit B1, G/F Pioneer Building, 213 Wai Yip St., Kwun Tong, Kowloon, Hong Kong; and Unit A, G/F, Pioneer Building, 213 Wai Yip St., Kwun Tong, Kowloon, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 80 FR 69856, 11/12/15.85 FR 83769, 12/23/20.
Center for High Pressure Science and Technology Advanced Research, a.k.a., the following two aliases:—HPSTAR; and;—Beijing High Voltage Science Research Center. No. 1690 Cailun Rd. Shanghai, China; and No. 10, Northeast Wangxi Road, Haidian District, Beijing, China; and 3rd Floor, Dongrong Building, No. 2699 Qianjin Street, High-Tech Development Zone, Changchun City, Jilin Province, China; and Bldg. 8 East Zone, ZPark II No. 10, East Xibeiwang Road, Beijing, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 85 FR 34497, 6/5/20.
Centre Bright Electronics Company Limited, Unit 7A, Nathan Commercial Building 430-436 Nathan Road, Kowloon, Hong Kong; and Room D, Block 1, 6/F International Industrial Centre, 2-8 Kwei Tei Street, Shatin New Territories, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 75 FR 1701, 1/13/10.85 FR 83769, 12/23/20.
CETC Chip Technology Co., Ltd., a.k.a., the following seven aliases: —CETC 24; —Sichuan Solid Circuit Research Institute; —CETC 44; —CETC Chongqing Sound and Optoelectronics Co., Ltd.; —Chongqing Optoelectronics Technology Research Institute; —CETC 26; and —Dianke Chip Group. No. 14, Nanping Huayuan Road, Economic and Technological Development Zone, Chongqing, China; and No. 5-12 Yuhan Road, Shuitu Hi-Tech Industrial Zone, Chongqing, China; and No. 23, Xiyong Avenue, Shapingba District, Chongqing, China; and Sichuan Institute of Piezoelec & Acousto-Optic Technology 14#, Chongqing, China; and Room 301, No. 3, Lane 5005, Shenjiang Road, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 89 FR 41888, 5/14/24.
CETC Cloud (Beijing) Technology Co., Ltd., a.k.a., the following five aliases: —CETC Cloud Technology Co., Ltd.; —Dianke Cloud (Beijing) Technology Co., Ltd.; —Dianke Cloud Technology Co., Ltd.; —China Electronic Technology Cloud Corporation; and —CEC Cloud. 4th Floor, Building 3, Yard 30, Jinfu Road, Shijingshan District, Beijing, China; and Building 3, No. 30 Yard, China Electronic Science and Technology Park, Shijingshan District, Beijing, China; and Room 1401, 14th Floor, Building 4, Yard 54, Shijingshan Road, Shijingshan District, Beijing, China; and Building A6, Land Geographic Information Industrial Park, Qixia District, Nanjing, China; and No. 11, Shuangyuan Road, Hi-Tech Park, Shijingshan District, Beijing, China; and 1 Hongtai Yujing Garden on the West Side of Jianshe Street and the North Side of Renhe Street, Luannan County, Hebei Province, Tangshan City, China; and 3103, Building 3, Zizhu, Shangri-La Garden, Fanglinquan Road, Yaohai District, Anhui Province, Hefei City, China; and Room 1016, No. 289, Chengxin Dajiao Road, Xihanggang Street, Shuangliu District, Sichuan Province, Chengdu City, China; and 7th Floor, Unit 1, Innovation Times Plaza, No. 555, North Section of Yizhou Avenue, High-tech Zone, Chengdu, China; and Area A, Jiangsu Geographic Information Industry Park, No. 18 Lingshan North Road, Xianlin Street, Qixia District, Nanjing City, China; and Building 6, Area A, Jiangsu Geographic Information Industry Park, No. 18 Lingshan North Road, Xianlin Street, Qixia District, Nanjing City, China; and Building 3, No. 211 Beiyan Road, Chongming District, Shanghai (Shanghai Chongming Forest Tourism Park), China. | For all items subject to the EAR. (See §§ 734.9(e)(2) and 744.11 of the EAR) 4 | Presumption of denial | 87 FR 77508, 12/19/22.
CETC LES Information System Group Co., Ltd., a.k.a., the following six aliases: —CLP LES Information System Group Co., Ltd.; —CLP Rice Information System Group Co., Ltd.; —CLP Rice Information System Co., Ltd.; —Electric LES; —CETC LES; and —Electric Coles. No. 1 Alfalfa Garden East Street, Qinhuai District, Nanjing, China; and No. 909, South District, No. 28, Qinhuai District, Nanjing, China. | For all items subject to the EAR. (See §§ 734.9(e)(2) and 744.11 of the EAR) 4 | Presumption of denial | 87 FR 77508, 12/19/22.
Ceyear Technologies Co., Ltd., a.k.a., the following five aliases: —CETC Instrument Co., Ltd.; —CETC Ceyear Technologies Co., Ltd.; and —Zhongdianke Ceyear Technology; —China Electronics Technology Instruments Co., Ltd; and —CETI. No. 98 Xiangjiang Road, Huangdao District, Qingdao, Shandong, China; and Room 606, Floor 6, Building 16, No. 23, Shijingshan Road, Shijingshan District, Beijing, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 89 FR 41888, 5/14/24.
Changguang Jizhi Optical Technology Co., Ltd., a.k.a., the following one alias: —Zetop. Building 1, No. 3033 Pudong Road, Changchun Economic and Technological Development Zone, Changchun, China. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 89 FR 96836, 12/5/24.
Changji Esquel Textile Co. Ltd., a.k.a., the following one alias:—Changji Yida Textile. No. 12 Oasis South Road, Changji City, Changji State, Xinjiang (District 55, 2 Hills); and 2 Hill, Area 55, No. 12, Oasis South Road, Changji City, Changji State, Xinjiang. | For all items subject to the EAR. (See § 744.11 of the EAR) | Case-by-case review for ECCNs 1A004.c, 1A004.d, 1A995, 1A999.a, 1D003, 2A983, 2D983, and 2E983, and for EAR99 items described in the Note to ECCN 1A995; case-by-case review for items necessary to detect, identify and treat infectious disease; and presumption of denial for all other items subject to the EAR | 85 FR 44161, 7/22/20.
Changji Hui Autonomous Prefecture Public Security Bureau, 56 Yan'an N Rd., Changji City, XUAR 831100, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Case-by-case review for ECCNs 1A004.c, 1A004.d, 1A995, 1A999.a, 1D003, 2A983, 2D983, and 2E983, and for EAR99 items described in the Note to ECCN 1A995; case-by-case review for items necessary to detect, identify and treat infectious disease; and presumption of denial for all other items subject to the EAR | 84 FR 54004, 10/9/19.85 FR 44161, 7/22/20.
Changsha Jingjia Microelectronics Co., Ltd.,902, Building B1, Lugu Science and Technology Innovation Pioneer Park, 1698 Yuelu West Ave., Changsha High-tech Development Zone; and Building 3, Changsha Productivity Promotion Center, No. 2, Lujing Rd., Yuelu District, Changsha City, Hunan Province; and No. 1, Meixihu Road, Yuelu District, Changsha City, Hunan Province, 410221; and Room 1501, Aipu Building, 395 Xinshi North Road, Shijiazhuang City, Hebei Province, China. | For all items subject to the EAR. (See §§ 734.9(e) and 744.11 of the EAR) 4 | Presumption of denial | 86 FR 71560, 12/17/21. 87 FR 62202, 10/13/22.
Changsha NetForward Electronic Technology Co. Ltd., a.k.a., the following two aliases: —Changsha Nanfei Electronic Technology Co., Ltd.; and —Changsha Netforward Electronic Technology Co. Ltd. Room No. 1007, Floor 10, Building No. 3, Huachuang International Square, Section 1, No. 109, Furong M. Road, Wujialing Sub-District, Kaifu Dist, Changsha, Hunan, 410000, China; and Jinxia Future Science and Technology City, Changsha, 410000, China. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 90 FR 44499, 9/16/25.
Changsha Zhichun Application Technology Co., Ltd., No. 204, 2nd Floor, Building 1, Peak, Gushan Sports Park, Jinjiachong Road, Wangcheng District, Changsha, China. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 89 FR 96836, 12/5/24.
Changzhou Guoguang Data Communications Co., Ltd., Block C, No. 52 Songtao Rd, Zhonglou Economic Development Zone, Changzhou, China. | All items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 85 FR 52901, 8/27/20.
Changzhou NetForward Microelectronics Co., Ltd., a.k.a., the following two aliases: —Changzhou Nanfei Microelectronics Co., Ltd.; and —Changzhou Netforward Microelectronics Co., Ltd. Room 525, No. 18, Xinya Road, Wujin Guojia High-Tech Industrial Development Zone, Changzhou, Jiangsu, 213000, China; and Room 309-1, Floor 3, Building 5, No. 456, Hongcao Road, Xuhui District Shanghai, Shanghai, 200000, China; and 401, 4/F, No. 2, Haidian East 3rd Street, Haidian District, Beijing, 100000, China; and No. 25 Gaoxin North 6 Road, North District Science Park, Shenzhen, 518054, China. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 90 FR 44499, 9/16/25.
Changzhou Utek Composite Co., Limited, a.k.a., the following one alias: —CUC. Fuhanyuan 1-812, New North District, Changzhou, 213022, Jiangsu, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | See § 744.3(d) of the EAR | 88 FR 38741, 6/14/23.
Channel Rich Electronics Company Limited, Unit 803, Fourseas Building, 208-212 Nathan Road, Kowloon, Hong Kong; and Room 803, Fourseas Bldg 208-212 Nathan Rd, Kowloon, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 79 FR 56003, 9/18/14.85 FR 83769, 12/23/20.
Check IC Solution Limited, 2-16 Fa Yuen Street, Ho King Commercial Building, 10th Floor, Room 1005, Mong Kok, Kowloon, Hong Kong. | For all items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.11 of the EAR) | Policy of denial for all items subject to the EAR. See § 746.8(b) | 88 FR 70353, 10/11/23. 89 FR 87265, 11/1/24.
Chen Qu, a.k.a., the following one alias:—Chen Choo No. 4 Nanhuan Road, Jinzhou City, Hubei Province, China | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 81 FR 14958, 3/21/16. 84 FR 40241, 8/14/19.
